latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.30449,104.04012,349.65,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,299.66,5.67,D,0
-1.30392,104.04382,339.95,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,303.18,8.19,D,0
-1.3022,104.0322,333.66,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,302.79,8.35,D,0
-1.30163,104.01319,336.62,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,298.23,9.45,D,0
-1.30163,104.0359,349.0,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,303.68,20.34,D,0
-1.30106,104.0396,356.28,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,308.1,20.34,D,0
-1.30105,104.01688,367.0,0.41,0.37,2019-09-01,637,N,VIIRS,h,2,304.98,9.45,D,0
-1.30049,104.04331,356.35,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,308.65,15.09,D,0
-1.30048,104.02058,353.71,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,303.15,13.36,D,0
-1.29991,104.04701,340.89,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,298.32,15.09,D,0
-1.29934,104.00528,348.17,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,299.57,15.32,D,0
-1.29877,104.00898,367.0,0.41,0.37,2019-09-01,637,N,VIIRS,h,2,304.2,15.32,D,0
-1.29819,104.01267,353.05,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,303.24,6.71,D,0
-1.29762,104.01637,338.73,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,302.56,6.71,D,0
-1.29705,104.04279,347.59,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,299.34,15.09,D,0
-1.29684,104.00443,347.48,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,301.02,17.77,D,0
-1.29648,104.0465,351.13,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,301.39,15.09,D,0
-1.29628,104.00812,356.65,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,303.36,17.77,D,0
-1.29591,104.00477,367.0,0.41,0.37,2019-09-01,637,N,VIIRS,h,2,302.88,15.32,D,0
-1.29572,104.01182,346.97,0.41,0.37,2019-09-01,637,N,VIIRS,n,2,303.42,5.29,D,0
