date,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,soil_moisture_0_to_7cm
2019-06-02 17:00:00+00:00,24.75,98.22198,0.0,6.87779,83.99109,0.419
2019-06-02 18:00:00+00:00,24.7,97.9276,0.0,4.6800003,112.61991,0.418
2019-06-02 19:00:00+00:00,24.65,97.63376,0.0,4.452954,194.03627,0.417
2019-06-02 20:00:00+00:00,24.25,97.33354,1.1,5.771239,183.57626,0.427
2019-06-02 21:00:00+00:00,23.75,100.0,0.1,4.5536795,161.56496,0.424
2019-06-02 22:00:00+00:00,23.55,100.0,0.0,4.3498964,155.55606,0.422
2019-06-02 23:00:00+00:00,23.4,100.0,0.0,4.3498964,155.55606,0.421
2019-06-03 00:00:00+00:00,24.3,97.921455,0.0,6.12,180.0,0.416
2019-06-03 01:00:00+00:00,25.6,92.816864,0.0,6.489992,176.82024,0.415
2019-06-03 02:00:00+00:00,26.5,90.40514,0.1,7.072878,194.7436,0.415
2019-06-03 03:00:00+00:00,27.55,88.88039,0.1,6.193674,215.53777,0.414
2019-06-03 04:00:00+00:00,27.85,88.3783,0.1,4.198285,210.96368,0.414
2019-06-03 05:00:00+00:00,28.65,84.859055,0.1,2.968636,165.96373,0.413
2019-06-03 06:00:00+00:00,29.65,74.7948,0.0,3.7064266,119.05451,0.411
2019-06-03 07:00:00+00:00,30.0,73.085014,0.0,4.6938252,94.39862,0.41
2019-06-03 08:00:00+00:00,28.7,79.96645,0.9,5.904439,52.431335,0.414
2019-06-03 09:00:00+00:00,26.95,93.16187,2.6,3.6,323.13,0.425
2019-06-03 10:00:00+00:00,26.1,90.37792,1.6,7.2,53.13002,0.426
2019-06-03 11:00:00+00:00,25.5,96.7793,0.1,2.8116899,50.194473,0.422
2019-06-03 12:00:00+00:00,25.8,98.52786,0.0,4.6938257,57.528828,0.415
2019-06-03 13:00:00+00:00,25.35,99.99999,0.6,4.8965297,53.972538,0.42
2019-06-03 14:00:00+00:00,25.05,100.0,0.6,4.3498964,65.55606,0.423
2019-06-03 15:00:00+00:00,24.8,100.0,0.2,5.0911684,81.86999,0.422
