date,T2M,RH2M,PRECTOTCORR,WS10M
2019-06-03 00:00:00+00:00,25.81,92.5,16.04,0.86
2019-06-04 00:00:00+00:00,26.7,88.86,0.27,0.87
2019-06-05 00:00:00+00:00,27.1,91.06,2.26,1.03
2019-06-06 00:00:00+00:00,26.62,92.43,18.12,0.85
2019-06-07 00:00:00+00:00,26.19,91.51,6.34,0.8
2019-06-08 00:00:00+00:00,26.22,93.12,3.65,0.91
2019-06-09 00:00:00+00:00,26.52,91.21,1.44,1.05
2019-06-10 00:00:00+00:00,26.94,90.74,1.53,1.05
2019-06-11 00:00:00+00:00,26.59,94.34,14.66,1.2
2019-06-12 00:00:00+00:00,26.06,95.73,15.71,1.22
2019-06-13 00:00:00+00:00,25.91,94.85,4.14,1.0
2019-06-14 00:00:00+00:00,26.76,90.9,1.74,1.14
2019-06-15 00:00:00+00:00,26.67,92.55,11.3,0.96
2019-06-16 00:00:00+00:00,26.24,94.29,5.13,0.98
2019-06-17 00:00:00+00:00,26.62,93.34,5.6,1.05
2019-06-18 00:00:00+00:00,26.16,94.83,8.55,1.11
2019-06-19 00:00:00+00:00,25.67,95.87,8.1,1.07
2019-06-20 00:00:00+00:00,26.6,91.56,12.59,1.17
2019-06-21 00:00:00+00:00,27.04,89.01,17.3,1.03
2019-06-22 00:00:00+00:00,26.38,92.23,10.11,0.87
2019-06-23 00:00:00+00:00,26.11,92.69,1.72,0.97
2019-06-24 00:00:00+00:00,25.69,94.43,2.26,1.05
2019-06-25 00:00:00+00:00,26.54,89.75,0.28,1.25
2019-06-26 00:00:00+00:00,26.48,85.38,0.05,1.12
2019-06-27 00:00:00+00:00,26.44,88.26,0.35,1.07
2019-06-28 00:00:00+00:00,26.38,90.96,0.5,1.28
2019-06-29 00:00:00+00:00,26.71,89.45,0.44,1.17
2019-06-30 00:00:00+00:00,26.99,88.56,0.2,1.12
2019-07-01 00:00:00+00:00,26.73,87.75,0.05,1.24
2019-07-02 00:00:00+00:00,26.68,89.47,0.11,1.13
2019-07-03 00:00:00+00:00,26.6,89.66,0.25,1.18
2019-07-04 00:00:00+00:00,26.14,91.46,0.26,1.02
2019-07-05 00:00:00+00:00,26.63,89.4,1.56,1.36
2019-07-06 00:00:00+00:00,26.51,91.22,9.06,1.12
2019-07-07 00:00:00+00:00,26.12,93.09,6.6,1.12
2019-07-08 00:00:00+00:00,25.74,94.71,6.73,1.1
2019-07-09 00:00:00+00:00,25.81,91.07,1.97,1.07
2019-07-10 00:00:00+00:00,26.34,89.05,0.09,1.3
2019-07-11 00:00:00+00:00,26.01,87.27,0.02,1.4
2019-07-12 00:00:00+00:00,26.26,87.71,0.52,1.19
2019-07-13 00:00:00+00:00,26.27,89.74,0.32,1.21
2019-07-14 00:00:00+00:00,26.46,88.28,0.24,1.13
2019-07-15 00:00:00+00:00,26.02,88.25,3.59,1.31
2019-07-16 00:00:00+00:00,25.77,89.01,2.43,1.36
2019-07-17 00:00:00+00:00,25.38,86.26,0.05,1.35
2019-07-18 00:00:00+00:00,25.13,87.78,0.25,1.5
2019-07-19 00:00:00+00:00,25.91,85.55,0.59,1.2
2019-07-20 00:00:00+00:00,26.71,85.87,1.57,1.09
2019-07-21 00:00:00+00:00,26.88,88.25,8.28,0.97
2019-07-22 00:00:00+00:00,26.11,91.83,7.32,1.02
2019-07-23 00:00:00+00:00,26.02,89.36,2.34,1.07
2019-07-24 00:00:00+00:00,25.68,87.53,0.3,1.41
2019-07-25 00:00:00+00:00,25.52,87.19,0.03,1.32
2019-07-26 00:00:00+00:00,25.42,87.02,0.0,1.21
2019-07-27 00:00:00+00:00,26.12,84.98,0.0,1.12
2019-07-28 00:00:00+00:00,26.16,86.36,0.03,1.38
2019-07-29 00:00:00+00:00,26.46,86.29,0.01,1.26
2019-07-30 00:00:00+00:00,26.07,87.49,0.02,1.27
2019-07-31 00:00:00+00:00,25.4,85.78,0.05,1.32
2019-08-01 00:00:00+00:00,25.67,85.46,0.04,1.31
2019-08-02 00:00:00+00:00,25.54,87.79,0.01,1.35
2019-08-03 00:00:00+00:00,26.17,85.63,0.02,1.21
2019-08-04 00:00:00+00:00,25.9,88.38,0.09,1.39
2019-08-05 00:00:00+00:00,26.07,86.49,0.04,1.38
