latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-0.36685,116.4571,329.21,0.48,0.65,2019-09-01,456,N,VIIRS,n,2,282.35,2.55,D,0
-0.36794,116.46093,330.41,0.39,0.36,2019-09-01,1737,N,VIIRS,n,2,290.15,2.93,N,0
-0.37273,116.45654,342.47,0.41,0.6,2019-09-02,618,N,VIIRS,n,2,287.88,6.36,D,0
-0.3713,116.45332,327.86,0.41,0.6,2019-09-02,618,N,VIIRS,n,2,288.11,6.65,D,0
-0.3707,116.45703,337.95,0.41,0.6,2019-09-02,618,N,VIIRS,n,2,288.11,6.65,D,0
-0.3701,116.46074,342.42,0.41,0.6,2019-09-02,618,N,VIIRS,n,2,287.81,30.58,D,0
-0.3695,116.46445,357.69,0.41,0.6,2019-09-02,618,N,VIIRS,l,2,288.41,30.58,D,0
-0.36655,116.45943,347.86,0.41,0.61,2019-09-02,618,N,VIIRS,n,2,288.61,41.76,D,0
-0.36598,116.46315,347.74,0.41,0.61,2019-09-02,618,N,VIIRS,n,2,298.65,41.76,D,0
-0.3654,116.4669,332.53,0.41,0.61,2019-09-02,618,N,VIIRS,n,2,287.44,55.04,D,0
-0.36449,116.45993,348.65,0.41,0.6,2019-09-02,618,N,VIIRS,n,2,288.98,30.58,D,0
-0.36389,116.46363,367.0,0.41,0.6,2019-09-02,618,N,VIIRS,h,2,295.75,30.58,D,0
-0.36036,116.46235,351.2,0.41,0.61,2019-09-02,618,N,VIIRS,n,2,286.98,41.76,D,0
-0.37834,116.45676,342.01,0.39,0.44,2019-09-03,559,N,VIIRS,n,2,294.78,23.96,D,0
-0.3778,116.46027,344.88,0.39,0.44,2019-09-03,559,N,VIIRS,n,2,294.3,23.96,D,0
-0.37374,116.45969,345.2,0.39,0.44,2019-09-03,559,N,VIIRS,n,2,292.82,14.31,D,0
-0.34669,116.47375,355.34,0.39,0.44,2019-09-03,559,N,VIIRS,n,2,292.99,8.08,D,0
-0.33102,116.46778,347.69,0.39,0.44,2019-09-03,559,N,VIIRS,n,2,293.09,8.93,D,0
-0.38579,116.45229,355.59,0.38,0.36,2019-09-04,540,N,VIIRS,n,2,303.5,23.04,D,0
-0.38527,116.45575,336.12,0.38,0.36,2019-09-04,540,N,VIIRS,n,2,301.23,7.77,D,0
