date,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,soil_moisture_0_to_7cm
2019-06-02 16:00:00+00:00,25.3,95.0539,2.3,3.396233,237.99466,0.435
2019-06-02 17:00:00+00:00,24.5,99.701164,2.0,3.0758414,249.44386,0.428
2019-06-02 18:00:00+00:00,24.4,99.70097,0.1,3.6,270.0,0.424
2019-06-02 19:00:00+00:00,24.25,100.0,0.0,4.3349743,265.23645,0.421
2019-06-02 20:00:00+00:00,24.1,100.0,0.0,4.73506,261.2539,0.419
2019-06-02 21:00:00+00:00,24.5,97.9245,0.0,9.931042,226.46873,0.417
2019-06-02 22:00:00+00:00,23.95,97.91604,0.2,8.707237,209.7448,0.417
2019-06-02 23:00:00+00:00,24.05,97.62322,0.0,9.19939,210.57915,0.415
2019-06-03 00:00:00+00:00,24.65,97.92681,0.1,7.928177,219.47243,0.417
2019-06-03 01:00:00+00:00,25.6,95.34895,0.1,5.634891,206.56499,0.415
2019-06-03 02:00:00+00:00,27.05,89.90597,0.1,3.0547013,224.9999,0.414
2019-06-03 03:00:00+00:00,28.7,82.874504,0.2,3.7585104,253.30067,0.413
2019-06-03 04:00:00+00:00,28.4,85.338104,0.3,5.8048253,262.8751,0.413
2019-06-03 05:00:00+00:00,29.55,78.665344,0.2,6.162207,276.70975,0.412
2019-06-03 06:00:00+00:00,29.25,76.084656,0.3,6.696387,233.74606,0.411
2019-06-03 07:00:00+00:00,26.3,91.47835,6.3,7.9932966,144.16226,0.433
2019-06-03 08:00:00+00:00,26.05,95.08079,0.6,1.5273507,224.9999,0.43
2019-06-03 09:00:00+00:00,26.05,93.67486,0.3,3.2399998,180.0,0.427
2019-06-03 10:00:00+00:00,25.4,97.93827,0.9,3.2599385,173.6599,0.429
2019-06-03 11:00:00+00:00,24.85,100.0,0.9,2.9024127,150.2552,0.435
2019-06-03 12:00:00+00:00,25.45,97.357056,0.8,2.3051248,128.65984,0.417
2019-06-03 13:00:00+00:00,25.45,99.99999,0.7,2.9024127,240.2552,0.423
2019-06-03 14:00:00+00:00,25.4,100.0,2.4,4.072935,224.9999,0.438
2019-06-03 15:00:00+00:00,24.45,100.0,10.5,3.7585104,196.69933,0.436
2019-06-03 16:00:00+00:00,24.55,100.0,5.1,3.6179552,174.2895,0.439
2019-06-03 17:00:00+00:00,24.3,100.0,11.9,4.072935,224.9999,0.439
2019-06-03 18:00:00+00:00,24.2,100.0,11.6,5.315336,208.30066,0.439
2019-06-03 19:00:00+00:00,24.15,100.0,4.4,4.2136917,199.9832,0.439
2019-06-03 20:00:00+00:00,24.05,100.0,3.3,2.6208394,195.94547,0.434
2019-06-03 21:00:00+00:00,24.15,100.0,1.9,3.9763298,275.19434,0.436
2019-06-03 22:00:00+00:00,23.65,100.0,1.8,4.3349743,221.63345,0.435
2019-06-03 23:00:00+00:00,24.0,100.0,2.0,6.193674,215.53777,0.439
2019-06-04 00:00:00+00:00,24.6,100.0,1.8,2.0991426,210.96368,0.438
2019-06-04 01:00:00+00:00,24.95,100.0,1.8,6.28713,246.3706,0.434
2019-06-04 02:00:00+00:00,25.15,99.99999,1.4,7.771331,256.60748,0.437
2019-06-04 03:00:00+00:00,25.4,99.703186,0.8,9.746631,265.76367,0.436
2019-06-04 04:00:00+00:00,25.5,100.0,0.8,8.049845,259.69522,0.435
2019-06-04 05:00:00+00:00,25.95,99.40951,0.6,5.0142193,248.96242,0.433
2019-06-04 06:00:00+00:00,26.25,97.66146,0.5,4.072935,224.9999,0.431
2019-06-04 07:00:00+00:00,26.35,97.37445,0.8,4.5820518,224.9999,0.434
2019-06-04 08:00:00+00:00,25.9,99.1151,0.4,4.379589,279.46225,0.431
2019-06-04 09:00:00+00:00,25.4,100.0,0.3,5.315336,298.30066,0.429
2019-06-04 10:00:00+00:00,24.8,100.0,0.5,4.3498964,294.44394,0.431
2019-06-04 11:00:00+00:00,24.4,100.0,0.5,4.5536795,251.56496,0.433
2019-06-04 12:00:00+00:00,25.7,94.50228,0.5,3.0758414,200.55612,0.425
2019-06-04 13:00:00+00:00,24.45,99.70103,0.5,1.2979984,146.3099,0.428
2019-06-04 14:00:00+00:00,24.0,100.0,0.0,3.0547013,135.0001,0.424
2019-06-04 15:00:00+00:00,23.95,100.0,0.0,3.319036,167.4712,0.422
2019-06-04 16:00:00+00:00,23.4,100.0,0.0,4.3349743,184.76355,0.419
2019-06-04 17:00:00+00:00,23.0,100.0,0.0,3.0758414,159.44388,0.417
2019-06-04 18:00:00+00:00,23.5,100.0,0.0,2.5455842,135.0001,0.415
2019-06-04 19:00:00+00:00,23.5,100.0,0.0,2.0991426,149.03632,0.414
2019-06-04 20:00:00+00:00,24.15,95.876274,0.0,1.484318,165.96373,0.412
2019-06-04 21:00:00+00:00,24.3,94.446106,0.0,2.8799999,180.0,0.411
2019-06-04 22:00:00+00:00,24.1,95.58587,0.0,5.4477882,187.59456,0.41
2019-06-04 23:00:00+00:00,24.5,95.598785,0.0,6.2145634,190.00792,0.409
2019-06-05 00:00:00+00:00,25.5,94.49428,0.0,3.6179552,174.2895,0.407
2019-06-05 01:00:00+00:00,27.35,85.99957,0.0,4.1046314,142.12495,0.406
2019-06-05 02:00:00+00:00,28.65,78.070595,0.2,4.0249224,116.56499,0.406
2019-06-05 03:00:00+00:00,29.7,72.16353,0.4,5.5887027,75.068535,0.407
2019-06-05 04:00:00+00:00,30.25,70.3389,0.5,5.00128,59.743652,0.408
2019-06-05 05:00:00+00:00,31.15,65.61925,0.3,3.8268526,48.814175,0.407
2019-06-05 06:00:00+00:00,31.1,66.20294,0.3,3.096837,54.46224,0.407
2019-06-05 07:00:00+00:00,30.85,67.55824,0.1,3.8773184,158.19853,0.405
2019-06-05 08:00:00+00:00,28.9,83.390495,0.8,6.379216,163.61038,0.409
2019-06-05 09:00:00+00:00,28.7,81.65177,0.0,6.9247384,152.10283,0.407
2019-06-05 10:00:00+00:00,27.5,88.34992,0.0,4.39436,124.992096,0.406
2019-06-05 11:00:00+00:00,26.55,92.04021,0.0,3.6,90.0,0.405
2019-06-05 12:00:00+00:00,26.2,90.92709,0.0,7.69592,100.784256,0.414
2019-06-05 13:00:00+00:00,26.1,90.64894,0.3,6.6185193,112.38018,0.414
2019-06-05 14:00:00+00:00,25.95,90.910965,0.0,6.379216,106.38962,0.412
