date,T2M,RH2M,PRECTOTCORR,WS10M
2019-06-03 00:00:00+00:00,25.52,97.96,36.15,0.54
2019-06-04 00:00:00+00:00,25.06,93.98,19.48,0.73
2019-06-05 00:00:00+00:00,26.32,90.32,3.71,0.69
2019-06-06 00:00:00+00:00,26.61,93.25,9.37,0.5
2019-06-07 00:00:00+00:00,26.35,94.53,5.74,0.43
2019-06-08 00:00:00+00:00,25.58,96.89,30.88,0.68
2019-06-09 00:00:00+00:00,25.32,94.28,13.43,0.51
2019-06-10 00:00:00+00:00,26.65,88.88,0.23,0.55
2019-06-11 00:00:00+00:00,26.61,92.07,0.91,0.62
2019-06-12 00:00:00+00:00,26.62,92.9,13.94,0.72
2019-06-13 00:00:00+00:00,26.16,95.47,37.38,0.66
2019-06-14 00:00:00+00:00,25.81,92.58,6.95,0.68
2019-06-15 00:00:00+00:00,25.07,97.76,21.16,0.74
2019-06-16 00:00:00+00:00,25.5,92.93,26.22,0.64
2019-06-17 00:00:00+00:00,25.44,95.92,19.83,0.63
2019-06-18 00:00:00+00:00,25.9,92.21,8.12,0.56
2019-06-19 00:00:00+00:00,26.16,93.95,15.98,0.75
2019-06-20 00:00:00+00:00,25.2,97.75,9.91,0.75
2019-06-21 00:00:00+00:00,26.07,91.93,2.02,0.69
2019-06-22 00:00:00+00:00,26.46,92.61,13.64,0.73
2019-06-23 00:00:00+00:00,26.26,92.73,4.57,0.78
2019-06-24 00:00:00+00:00,26.15,89.82,0.19,0.65
2019-06-25 00:00:00+00:00,26.41,90.89,9.59,0.57
2019-06-26 00:00:00+00:00,26.31,91.29,3.5,0.62
2019-06-27 00:00:00+00:00,25.94,92.72,4.15,0.75
2019-06-28 00:00:00+00:00,25.27,95.35,5.71,0.64
2019-06-29 00:00:00+00:00,25.41,89.46,0.24,0.74
2019-06-30 00:00:00+00:00,25.19,88.93,0.04,0.69
2019-07-01 00:00:00+00:00,25.29,90.14,0.05,0.72
2019-07-02 00:00:00+00:00,25.48,88.42,0.53,0.57
2019-07-03 00:00:00+00:00,25.17,92.08,10.61,0.66
2019-07-04 00:00:00+00:00,25.56,89.84,4.75,0.56
2019-07-05 00:00:00+00:00,25.24,90.43,0.1,0.57
2019-07-06 00:00:00+00:00,25.83,90.37,1.92,0.63
2019-07-07 00:00:00+00:00,26.04,90.26,0.69,0.72
2019-07-08 00:00:00+00:00,24.88,86.75,0.0,0.81
2019-07-09 00:00:00+00:00,24.73,87.3,0.94,0.83
2019-07-10 00:00:00+00:00,24.6,93.75,2.13,0.66
2019-07-11 00:00:00+00:00,25.28,91.34,0.46,0.65
2019-07-12 00:00:00+00:00,25.12,93.72,37.12,0.72
2019-07-13 00:00:00+00:00,24.33,97.03,28.24,0.85
2019-07-14 00:00:00+00:00,24.37,92.8,2.03,0.81
2019-07-15 00:00:00+00:00,24.57,88.59,0.29,0.85
2019-07-16 00:00:00+00:00,24.85,87.72,0.12,0.82
2019-07-17 00:00:00+00:00,25.06,89.48,0.02,0.71
2019-07-18 00:00:00+00:00,26.06,87.76,0.06,0.57
2019-07-19 00:00:00+00:00,26.1,90.64,0.03,0.65
2019-07-20 00:00:00+00:00,26.45,88.91,0.0,0.8
2019-07-21 00:00:00+00:00,25.99,89.71,2.39,0.61
2019-07-22 00:00:00+00:00,25.84,89.21,1.0,0.78
2019-07-23 00:00:00+00:00,25.12,87.14,0.0,0.75
2019-07-24 00:00:00+00:00,24.87,89.75,2.57,0.69
2019-07-25 00:00:00+00:00,25.07,90.74,6.39,0.71
2019-07-26 00:00:00+00:00,25.26,91.69,15.32,0.69
2019-07-27 00:00:00+00:00,24.5,95.9,7.55,0.55
2019-07-28 00:00:00+00:00,25.35,89.3,0.33,0.66
2019-07-29 00:00:00+00:00,25.24,91.48,2.69,0.75
2019-07-30 00:00:00+00:00,24.78,92.79,2.75,0.79
2019-07-31 00:00:00+00:00,25.31,89.97,4.01,0.79
2019-08-01 00:00:00+00:00,25.45,88.27,0.29,0.74
2019-08-02 00:00:00+00:00,25.33,88.13,0.17,0.76
2019-08-03 00:00:00+00:00,25.44,85.85,0.01,0.73
2019-08-04 00:00:00+00:00,25.37,86.21,0.0,0.84
2019-08-05 00:00:00+00:00,25.42,85.67,0.0,0.87
2019-08-06 00:00:00+00:00,25.62,88.19,0.0,0.78
2019-08-07 00:00:00+00:00,25.45,89.32,0.0,0.76
2019-08-08 00:00:00+00:00,25.49,88.19,0.0,0.9
2019-08-09 00:00:00+00:00,25.67,86.86,0.0,0.77
2019-08-10 00:00:00+00:00,26.13,87.51,0.0,0.73
2019-08-11 00:00:00+00:00,26.29,87.59,0.0,0.54
2019-08-12 00:00:00+00:00,26.68,87.5,0.0,0.73
2019-08-13 00:00:00+00:00,26.28,88.54,5.85,0.71
2019-08-14 00:00:00+00:00,26.47,89.2,4.16,0.73
2019-08-15 00:00:00+00:00,26.47,87.05,3.6,0.78
2019-08-16 00:00:00+00:00,25.69,87.3,0.55,0.69
2019-08-17 00:00:00+00:00,25.52,86.12,0.0,0.73
2019-08-18 00:00:00+00:00,25.26,90.69,18.29,0.73
2019-08-19 00:00:00+00:00,25.43,92.31,10.05,0.7
2019-08-20 00:00:00+00:00,25.06,93.89,8.82,0.73
2019-08-21 00:00:00+00:00,26.17,86.59,0.41,0.49
2019-08-22 00:00:00+00:00,25.71,88.61,2.01,0.77
2019-08-23 00:00:00+00:00,25.71,87.33,0.3,0.64
2019-08-24 00:00:00+00:00,26.26,87.67,19.41,0.57
2019-08-25 00:00:00+00:00,25.8,92.27,17.43,0.75
2019-08-26 00:00:00+00:00,25.92,90.44,1.01,0.72
2019-08-27 00:00:00+00:00,25.57,91.56,0.93,0.8
2019-08-28 00:00:00+00:00,25.35,88.22,0.02,0.85
2019-08-29 00:00:00+00:00,25.86,86.57,0.0,0.79
2019-08-30 00:00:00+00:00,25.24,84.07,0.0,0.65
2019-08-31 00:00:00+00:00,25.82,86.31,0.11,0.77
2019-09-01 00:00:00+00:00,25.88,88.28,0.95,0.78
2019-09-02 00:00:00+00:00,25.91,88.25,1.19,0.81
2019-09-03 00:00:00+00:00,26.38,87.32,0.22,0.71
2019-09-04 00:00:00+00:00,26.09,86.68,0.0,0.79
