date,T2M,RH2M,PRECTOTCORR,WS10M
2019-06-06 00:00:00+00:00,26.53,92.66,16.42,0.97
2019-06-07 00:00:00+00:00,26.19,91.08,5.02,0.87
2019-06-08 00:00:00+00:00,26.27,92.42,2.37,0.97
2019-06-09 00:00:00+00:00,26.41,91.05,1.04,1.15
2019-06-10 00:00:00+00:00,26.89,89.72,0.75,1.21
2019-06-11 00:00:00+00:00,26.4,94.29,16.81,1.37
2019-06-12 00:00:00+00:00,26.05,94.86,13.95,1.32
2019-06-13 00:00:00+00:00,26.04,93.53,2.87,1.16
2019-06-14 00:00:00+00:00,26.69,90.57,1.08,1.24
2019-06-15 00:00:00+00:00,26.56,92.35,9.02,1.15
2019-06-16 00:00:00+00:00,26.23,93.06,3.37,1.11
2019-06-17 00:00:00+00:00,26.67,92.53,4.05,1.19
2019-06-18 00:00:00+00:00,25.94,94.35,6.03,1.25
2019-06-19 00:00:00+00:00,25.33,96.41,5.98,1.18
2019-06-20 00:00:00+00:00,26.49,91.27,12.62,1.38
2019-06-21 00:00:00+00:00,26.88,88.97,13.87,1.25
2019-06-22 00:00:00+00:00,26.57,91.56,11.42,0.95
2019-06-23 00:00:00+00:00,26.22,91.38,4.89,1.06
2019-06-24 00:00:00+00:00,25.51,93.14,0.93,1.15
2019-06-25 00:00:00+00:00,26.2,89.97,0.15,1.45
2019-06-26 00:00:00+00:00,26.15,86.02,0.04,1.23
2019-06-27 00:00:00+00:00,26.31,88.31,0.45,1.24
2019-06-28 00:00:00+00:00,26.24,90.41,0.27,1.45
2019-06-29 00:00:00+00:00,26.51,88.81,0.18,1.38
2019-06-30 00:00:00+00:00,26.63,88.58,0.08,1.4
2019-07-01 00:00:00+00:00,26.39,87.92,0.03,1.43
2019-07-02 00:00:00+00:00,26.52,88.97,0.06,1.25
2019-07-03 00:00:00+00:00,26.41,89.47,0.56,1.47
2019-07-04 00:00:00+00:00,26.13,90.78,0.27,1.18
2019-07-05 00:00:00+00:00,26.5,89.69,3.91,1.59
2019-07-06 00:00:00+00:00,26.44,90.79,8.35,1.31
2019-07-07 00:00:00+00:00,26.12,92.18,5.41,1.28
2019-07-08 00:00:00+00:00,25.83,93.58,6.95,1.29
2019-07-09 00:00:00+00:00,26.03,89.84,1.4,1.2
2019-07-10 00:00:00+00:00,26.38,88.53,0.05,1.44
2019-07-11 00:00:00+00:00,25.85,87.32,0.01,1.61
2019-07-12 00:00:00+00:00,26.1,87.51,0.41,1.34
2019-07-13 00:00:00+00:00,26.29,88.64,0.21,1.37
2019-07-14 00:00:00+00:00,26.24,87.73,0.09,1.34
2019-07-15 00:00:00+00:00,25.66,87.72,1.76,1.51
2019-07-16 00:00:00+00:00,25.49,88.07,1.58,1.56
2019-07-17 00:00:00+00:00,24.93,85.88,0.03,1.55
2019-07-18 00:00:00+00:00,24.73,87.28,0.14,1.69
2019-07-19 00:00:00+00:00,25.7,85.71,1.33,1.25
2019-07-20 00:00:00+00:00,26.56,87.46,2.64,1.2
2019-07-21 00:00:00+00:00,26.66,89.77,16.91,1.14
2019-07-22 00:00:00+00:00,26.29,90.0,7.34,1.19
2019-07-23 00:00:00+00:00,25.95,88.86,1.0,1.26
2019-07-24 00:00:00+00:00,25.46,86.95,0.09,1.67
2019-07-25 00:00:00+00:00,25.37,86.49,0.02,1.59
2019-07-26 00:00:00+00:00,25.1,86.54,0.0,1.27
2019-07-27 00:00:00+00:00,26.07,84.89,0.0,1.15
2019-07-28 00:00:00+00:00,26.0,85.99,0.02,1.5
2019-07-29 00:00:00+00:00,26.31,86.79,0.01,1.44
2019-07-30 00:00:00+00:00,25.89,87.54,0.01,1.46
2019-07-31 00:00:00+00:00,25.15,85.05,0.01,1.33
2019-08-01 00:00:00+00:00,25.5,85.41,0.01,1.44
2019-08-02 00:00:00+00:00,25.41,87.04,0.0,1.57
2019-08-03 00:00:00+00:00,26.01,85.45,0.01,1.37
2019-08-04 00:00:00+00:00,25.83,88.01,0.13,1.61
2019-08-05 00:00:00+00:00,25.72,87.04,0.03,1.59
2019-08-06 00:00:00+00:00,25.07,85.64,0.01,1.7
2019-08-07 00:00:00+00:00,25.13,84.27,0.0,1.63
2019-08-08 00:00:00+00:00,25.14,85.69,0.0,1.64
2019-08-09 00:00:00+00:00,25.86,86.7,0.01,1.57
2019-08-10 00:00:00+00:00,26.43,85.76,0.01,1.35
2019-08-11 00:00:00+00:00,26.54,85.87,0.0,1.65
2019-08-12 00:00:00+00:00,26.41,86.4,0.0,1.58
2019-08-13 00:00:00+00:00,26.3,87.29,0.04,1.73
2019-08-14 00:00:00+00:00,26.15,87.15,0.01,1.69
2019-08-15 00:00:00+00:00,26.18,85.92,0.0,1.7
2019-08-16 00:00:00+00:00,26.36,86.79,0.0,1.46
2019-08-17 00:00:00+00:00,26.1,88.63,0.01,1.55
2019-08-18 00:00:00+00:00,26.0,85.73,0.0,1.65
2019-08-19 00:00:00+00:00,25.9,84.38,0.03,1.54
2019-08-20 00:00:00+00:00,25.78,83.92,0.11,1.67
2019-08-21 00:00:00+00:00,26.3,84.62,0.07,1.38
2019-08-22 00:00:00+00:00,26.39,84.4,0.4,1.8
2019-08-23 00:00:00+00:00,26.28,84.21,0.11,1.51
2019-08-24 00:00:00+00:00,26.53,85.17,0.1,1.46
2019-08-25 00:00:00+00:00,26.26,84.18,0.28,1.69
2019-08-26 00:00:00+00:00,26.18,85.4,0.38,1.35
2019-08-27 00:00:00+00:00,26.27,88.16,3.91,1.16
2019-08-28 00:00:00+00:00,25.43,92.31,4.11,1.07
2019-08-29 00:00:00+00:00,25.74,89.77,1.85,1.45
2019-08-30 00:00:00+00:00,26.32,84.56,0.3,1.83
2019-08-31 00:00:00+00:00,25.43,82.98,0.02,1.61
2019-09-01 00:00:00+00:00,26.46,83.31,0.83,1.59
2019-09-02 00:00:00+00:00,26.32,85.29,0.33,1.44
2019-09-03 00:00:00+00:00,26.58,85.62,0.25,1.31
2019-09-04 00:00:00+00:00,26.43,85.0,0.06,1.59
2019-09-05 00:00:00+00:00,26.37,82.53,0.01,1.67
2019-09-06 00:00:00+00:00,26.35,84.53,0.01,1.55
